Zone,Sa(0.01s),SDS(0.2s),Sa(0.5s),SD1(1.0s),Sa(2.0s),Sa(3.0s),Sa(4.0s),Sa(5.0s),Sa(6.0s)
1,0.451,0.451,0.451,0.233,0.11,0.053,0.042,0.031,0.029
2,0.439,0.439,0.439,0.249,0.196,0.108,0.058,0.038,0.03
3,0.32,0.32,0.32,0.353,0.217,0.109,0.064,0.044,0.034
4,0.33,0.33,0.33,0.264,0.218,0.1,0.039,0.029,0.027
5,0.22,0.22,0.22,0.25,0.223,0.126,0.067,0.047,0.038
6,0.34,0.34,0.34,0.198,0.207,0.093,0.053,0.04,0.035
7,0.291,0.291,0.291,0.231,0.177,0.103,0.064,0.046,0.04
8,0.21,0.21,0.21,0.097,0.055,0.033,0.018,0.012,0.011
9,0.269,0.269,0.269,0.194,0.144,0.061,0.026,0.017,0.013
10,0.225,0.225,0.225,0.059,0.047,0.031,0.017,0.012,0.01
